,slctn_nmbr,clnt_id,accnt_id,gndr,brth_yr,prsnt_age,accnt_bgn_date,cprtn_prd_d,erly_pnsn_flg,accnt_status,pnsn_age,prvs_npf,brth_plc,addrss_type,rgn,dstrct,city,sttlmnt,pstl_code,okato,phn,email,lk,assgn_npo,assgn_ops
438996,2,0xE65C0437DFF8A64DB65E38489AD85CA6,0x1DE39F7960D6B142A401A8E6867731C3,ж,1958,66,2011-03-14,380,0,Накопительный период,55,СФР,УДМУРТСКАЯ АССР КАРСОВАЙСКИЙ АЛМИНО,Адрес по прописке,УДМУРТСКАЯ РЕСП,БАЛЕЗИНСКИЙ Р-Н,,БАЛЕЗИНО  ПГТ,427552,94000000000.0,нет,нет,нет,нет,нет
318300,0,0x714E961A2F363D449C0BC34218B78267,0x8DEB12C058CB844D84F0FC9CC625F21E,ж,1963,61,2006-10-31,143,0,Накопительный период,55,СФР,"1,Г. КАНДАЛАКША МУРМАНСКАЯ ОБЛАСТЬ",Адрес места жительства,МУРМАНСКАЯ ОБЛ,КАНДАЛАКШСКИЙ Р-Н,КАНДАЛАКША Г,,184042,47000000000.0,нет,нет,нет,нет,нет
48036,2,0xED30B944ED17224C82F2CD01D7FD3CEC,0xD0B10478678BC94C841F5878F754DCB1,м,1957,67,2008-09-12,201,0,Накопительный период,60,,"1,КОРКИНО ЧЕЛЯБИНСКАЯ ОБЛАСТЬ",Адрес места жительства,АЛТАЙСКИЙ КРАЙ,,ЗАРИНСК Г,,659100,1000000000.0,нет,нет,нет,нет,нет
147364,2,0xC3644B46145D0245AEE84A826482E02F,0x7246753C45FBE64DB874F39E6ACA943B,м,1957,67,2009-09-24,202,0,Накопительный период,60,,"1,ШУРМА УРЖУМСКИЙ КИРОВСКАЯ ОБЛАСТЬ",Адрес по прописке,СВЕРДЛОВСКАЯ ОБЛ,,РЕВДА Г,,623281,65000000000.0,нет,нет,нет,нет,нет
531539,3,0x943D2C768A4FB38311E6593B8F72EC6B,0x943D2C768A4FB38311E6593B8F72EC6D,ж,1956,68,2004-09-25,667,0,Накопительный период,55,СФР,"1,РОГИЗНА,КАМЕНЕЦ-ПОДОЛЬСКИЙ,ХМЕЛЬНИЦКАЯ ОБЛАСТЬ,",Адрес места жительства,ИРКУТСКАЯ ОБЛ,ЗАЛАРИНСКИЙ Р-Н,,СОРТЫ Д,666333,25000000000.0,нет,нет,нет,нет,нет
144759,3,0x943D2C768A4FB38311E65DE9666ED1BB,0x943D2C768A4FB38311E65DE9666ED1BD,м,1957,67,2009-04-24,371,0,Накопительный период,60,"АО ""НПФ ""ОТКРЫТИЕ""","1,УСТЬ-УЗА,ШЕМЫШЕЙСКИЙ,ПЕНЗЕНСКАЯ ОБЛАСТЬ,РОССИЯ",Адрес места жительства,САМАРСКАЯ ОБЛ,,СЫЗРАНЬ Г,,446031,36000000000.0,нет,нет,да,нет,нет
281768,0,0x47250E316774334BAB9322BDE955719E,0x99CB1CF4B5739B45921ADCC9ED01D062,ж,1957,67,2010-06-28,267,0,Накопительный период,55,СФР,"1,С НОВО-ПОЛЯНЬЕ ЧАПЛЫГИНСКИЙ Р-ОН ЛИПЕЦКОЙ ОБЛ",Адрес места жительства,МОСКОВСКАЯ ОБЛ,,СОЛНЕЧНОГОРСК Г,ЖИЛИНО Д,141551,46000000000.0,нет,нет,нет,нет,нет
180215,0,0x620E02A6EC1453418538E20567CD0168,0x86DCFDFF91AF034BB2E7BDEEF985C7D9,ж,1963,61,2005-12-21,96,0,Накопительный период,55,СФР,"1,С.ГОРШКОВО ЧИСТОПОЛЬСКОГО Р-НА ТАТАРСКОЙ АССР",Адрес места жительства,НОВОСИБИРСКАЯ ОБЛ,НОВОСИБИРСКИЙ Р-Н,,ЖЕЛЕЗНОДОРОЖНЫЙ П,630556,50000000000.0,нет,нет,нет,нет,нет
367457,2,0xF169998E7A96E649AF89F8878A2FF653,0x0D718033DD90F34EB4DF2AD54D77FB63,ж,1964,60,2012-10-01,122,0,Накопительный период,55,,"0,С. МАЛЫЕЙ ТРУЕВ,КУЗНЕЦКИЙ РАЙОН,ПЕНЗЕНСКАЯ ОБЛАСТЬ,",Адрес места жительства,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,,НИЖНЕВАРТОВСК Г,,628609,71100000000.0,нет,нет,нет,нет,нет
330380,3,0x943D2C768A4FB38311E65D28E39ADC86,0x943D2C768A4FB38311E65D28E39ADC88,ж,1947,77,2009-12-30,99,0,Накопительный период,55,СФР,"1,КОЛЮТКИНО,БЕЛОЯРСКИЙ,СВЕРДЛОВСКАЯ ОБЛАСТЬ,",Адрес места жительства,КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС ОБЛ,,КЕМЕРОВО Г,,650068,32000000000.0,нет,нет,нет,нет,нет
459854,3,0x943D2C768A4FB38311E6613FD017E8BC,0x943D2C768A4FB38311E6613FD017E8BE,ж,1940,84,2012-11-30,116,0,Накопительный период,55,СФР,"1,КАМЕНСК-УРАЛЬСКИЙ,,СВЕРДЛОВСКАЯ ОБЛАСТЬ,",Адрес места жительства,СВЕРДЛОВСКАЯ ОБЛ,,КАМЕНСК-УРАЛЬСКИЙ Г,,623426,65000000000.0,нет,нет,нет,нет,нет
461768,0,0x1CB7C952DAF5CA4C94678B0C5BBC0732,0x37FE33C099F09D4196F885CB40EAD6C7,м,1958,66,2010-07-07,258,0,Накопительный период,60,СФР,"1,ДЕРЕВНЯ БЕЛОЯРКА МОШКОВСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ",Адрес места жительства,НОВОСИБИРСКАЯ ОБЛ,,НОВОСИБИРСК Г,,630017,50000000000.0,нет,нет,нет,нет,нет
13412,0,0x8E61AC1BE200B74D8ECA4F7CA9F1A32E,0xB71B87A22EF7E443B7E8734F1E07F7C1,м,1959,65,2010-07-31,243,0,Накопительный период,60,СФР,"0,Г.ЧУДОВО,,НОВГОРОДСКАЯ,",Адрес места жительства,ПРИМОРСКИЙ КРАЙ,,ВЛАДИВОСТОК Г,,690078,5000000000.0,нет,нет,нет,нет,нет
220762,0,0x7012E8B0D1702747B0811D1FD4B4791B,0x881C044D6C2FC24E878E9A76682D4D4F,ж,1961,63,2007-08-08,233,0,Накопительный период,55,,"0,ЧЕРЕВКОВСКИЙ С/С КРАСНОБОРСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ.,,,",Адрес места жительства,КОМИ РЕСП,,ВОРКУТА Г,,169900,87000000000.0,нет,нет,нет,нет,нет
213746,2,0x34EE372870A928418EC91D8570E91C82,0x1C842F86801BB4488749F6C3069F31A3,ж,1961,63,2011-12-13,106,0,Накопительный период,55,СФР,ГОР.БАКУ,Адрес места жительства,САМАРСКАЯ ОБЛ,,НОВОКУЙБЫШЕВСК,,446208,36000000000.0,нет,нет,да,нет,нет
67627,0,0x4FECACB8CF9C144F92227553F20F7E3D,0xE5130E25B3F92840A6F2BB13CAB15948,ж,1964,60,2012-05-10,320,0,Накопительный период,55,СФР,"1,ЧЕЛЯБИНСК",Адрес места жительства,КРАСНОДАРСКИЙ КРАЙ,ЕЙСКИЙ Р-Н,ЕЙСК Г,КРАСНОФЛОТСКИЙ П,353660,3000000000.0,нет,нет,нет,нет,нет
408380,2,0x3E04004642AA914EBBF995DAC5F4031B,0x6FE2612C2EFDB049BD1C4AD5D174B850,м,1956,68,2009-08-06,245,0,Накопительный период,60,,КУЗЬМИНО СЮМСИНСКИЙ УДМУРТСКАЯ АССР,Адрес по прописке,УДМУРТСКАЯ РЕСП,ВОТКИНСКИЙ Р-Н,,ИЮЛЬСКОЕ С,427415,94000000000.0,нет,нет,нет,нет,нет
417073,3,0x943D2C768A4FB38311E65E11682FD1CA,0x943D2C768A4FB38311E65E11682FD1CC,ж,1963,61,2010-08-30,204,0,Накопительный период,55,"АО ""НПФ ""СОЦИУМ""","1,КАНСК,,КРАСНОЯРСКИЙ КРАЙ,",Адрес места жительства,КРАСНОЯРСКИЙ КРАЙ,,КРАСНОЯРСК Г,,660094,4000000000.0,нет,нет,нет,нет,нет
334445,0,0xD19DA1F546B26D49A17912F75B73437B,0xAFEA559BF62DA744B2A1751ECDE992F6,м,1953,71,2007-09-14,196,0,Накопительный период,60,,"0,ГОРОД АПАТИТЫ МУРМАНСКОЙ ОБЛАСТИ,,,",Адрес места жительства,МУРМАНСКАЯ ОБЛ,,ОЛЕНЕГОРСК Г,,184530,47000000000.0,нет,нет,нет,нет,нет
445183,0,0xAFC35E568B79A44DA8AAF78690FB0641,0xBA7EF1EC4C6D02459713DAF63DD7F463,м,1953,71,2005-12-14,103,0,Накопительный период,60,СФР,"1,ГОРОД ЧЕРЕПАНОВО НОВОСИБИРСКОЙ ОБЛАСТИ",Адрес места жительства,НОВОСИБИРСКАЯ ОБЛ,,ИСКИТИМ Г,,633210,50000000000.0,нет,нет,нет,нет,нет
183158,0,0x6E476F748E5B1045A7FE69C357F744E9,0x1F08A77CD1AA1A44B40DDB7F90E83865,ж,1957,67,2011-12-19,100,0,Накопительный период,55,СФР,"1,Г.КОТЛАС АРХАНГЕЛЬСКОЙ ОБЛАСТИ",Адрес места жительства,АРХАНГЕЛЬСКАЯ ОБЛ,КОТЛАССКИЙ Р-Н,КОТЛАС Г,ВЫЧЕГОДСКИЙ РП,165340,11000000000.0,нет,нет,нет,нет,нет
453568,2,0x22B38A7280CEB243A4263F70A8653F12,0x89C40592BC706B4EB576D4F2606B7E2C,ж,1963,61,2013-09-25,65,0,Накопительный период,55,,"0,БОГДАНОВИЧ,,СВЕРДЛОВСКАЯ ОБЛАСТЬ,",Адрес места жительства,СВЕРДЛОВСКАЯ ОБЛ,,СРЕДНЕУРАЛЬСК Г,,624070,65000000000.0,нет,нет,нет,нет,нет
434855,3,0x943D2C768A4FB38311E65C0E028F0670,0x943D2C768A4FB38311E65C0E028F0672,ж,1968,56,2008-09-12,3941,1,Выплатной период,60,СФР,"1,СВЕРДЛОВСК,,,",Адрес места жительства,СВЕРДЛОВСКАЯ ОБЛ,,ЕКАТЕРИНБУРГ Г,,620135,65000000000.0,нет,нет,да,нет,нет
459744,0,0xCD58539C97DDCF4F920B584BBF122F7A,0xD993E3CF5E9A394EA6D8C2BC256327CD,м,1958,66,2007-06-29,273,0,Накопительный период,60,СФР,"1,Г.НЯНДОМА АРХАНГЕЛЬСКОЙ ОБЛАСТИ",Адрес места жительства,АРХАНГЕЛЬСКАЯ ОБЛ,НЯНДОМСКИЙ Р-Н,НЯНДОМА Г,,164200,11000000000.0,нет,нет,нет,нет,нет
385216,0,0xB68100F9B7F6294FB1A83EDC7B436932,0x4833F2B2E57DD346B6DFB37430639326,м,1959,65,2005-10-21,157,0,Накопительный период,60,СФР,"1,С.ЖУРАВКИ КАЛИНИНСКАЯ ОБЛ.",Адрес места жительства,ПРИМОРСКИЙ КРАЙ,ХОРОЛЬСКИЙ Р-Н,,ЯРОСЛАВСКИЙ ПГТ,692271,5000000000.0,нет,нет,нет,нет,нет
519511,0,0x5653677DBED3744890051B181303581A,0x04ED664CE92E5F43B18E1FA60925B124,м,1957,67,2005-10-20,158,0,Накопительный период,60,СФР,"0,БАССР, ИШИМБАЙ",Адрес места жительства,БАШКОРТОСТАН РЕСП,ИШИМБАЙСКИЙ Р-Н,ИШИМБАЙ Г,,453204,80000000000.0,нет,нет,нет,нет,нет
217775,0,0x3E1AAAE4523EE947AAD7249886BDC54C,0x0198CC85D4BA284EA95D94DFC0F9959E,м,1958,66,2010-07-25,249,0,Накопительный период,60,СФР,"0,СЫДАНИХА Д.,КРАСНОСЕЛЬСКИЙ Р-Н,КОСТРОМСКАЯ ОБЛАСТЬ,",Адрес места жительства,КОСТРОМСКАЯ ОБЛ,ВОХОМСКИЙ Р-Н,,ВОХМА П,157760,34000000000.0,нет,нет,нет,нет,нет
59181,0,0xECCE61E12F046541B2723EA3A6569119,0x830219F6E261F749BD8E4E6F93B236AC,ж,1963,61,2012-06-07,292,0,Накопительный период,55,СФР,"1,ГОР. ВОРОНЕЖ",Адрес места жительства,ВОРОНЕЖСКАЯ ОБЛ,,ВОРОНЕЖ Г,,394018,20000000000.0,нет,нет,нет,нет,нет
203331,0,0x2066C226E399CA45BC4E0FA27CAA0EE4,0x63F41C9B77A31E46B08A579992DE1BB6,ж,1959,65,2005-12-30,87,0,Накопительный период,55,СФР,"1,П. НОВОНУКУТСК, НУКУТСКОГО Р-НА",Адрес места жительства,БУРЯТИЯ РЕСП,,СЕВЕРОБАЙКАЛЬСК Г,,671702,81000000000.0,нет,нет,нет,нет,нет
460369,0,0x8062640EC534F4458AD624E109CC192D,0x8B52A7FF3B6F764C97E206C78F9C92E9,ж,1962,62,2011-03-02,392,0,Накопительный период,55,СФР,"1,Г.БЕСТЮБЕ СЕЛЕТИНСКИЙ РАЙОН ЦИЛИНОГРАДСКАЯ ОБЛАСТЬ",Адрес места жительства,КРАСНОДАРСКИЙ КРАЙ,ТЕМРЮКСКИЙ Р-Н,,СТАРОТИТАРОВСКАЯ СТ-ЦА,353530,3000000000.0,нет,нет,нет,нет,нет
290640,0,0x41629BB808EB8D45AA5144BF26B0E387,0x1EE88D4FF83C5F4FA5C6AE331F3939A9,ж,1960,64,2011-09-22,188,0,Накопительный период,55,СФР,"1,ОЙКАСЫ ЧУВАШСКАЯ АССР",Адрес места жительства,ЧУВАШСКАЯ РЕСПУБЛИКА ЧУВАШИЯ,ВУРНАРСКИЙ Р-Н,,ВУРНАРЫ ПГТ,429220,97000000000.0,нет,нет,да,нет,нет
110022,0,0xB86FA7DDE116A04B81148CACB771F9F4,0x5D2DB924D23D114AAB5DC225C151BB5F,ж,1963,61,2013-08-08,258,0,Накопительный период,55,СФР,"0,ЧЕЛЯБИНСКАЯ ОБЛАСТЬ, КУНАШАКСКИЙ, БОРИСОВО",Адрес места жительства,ЧЕЛЯБИНСКАЯ ОБЛ,КУНАШАКСКИЙ Р-Н,,БОРИСОВКА Д,456738,75000000000.0,нет,нет,нет,нет,нет
237226,3,0x943D2C768A4FB38311E658F8FDEB4EA3,0x943D2C768A4FB38311E658F8FDEB4EA5,ж,1957,67,2004-09-28,93,0,Накопительный период,55,СФР,"1,БАРАБАНОВО,КАМЕНСКИЙ,СВЕРДЛОВСКАЯ ОБЛАСТЬ,",Адрес места жительства,СВЕРДЛОВСКАЯ ОБЛ,,КАМЕНСК-УРАЛЬСКИЙ Г,,623418,65000000000.0,нет,нет,нет,нет,нет
234426,0,0xC53238F12D10044782B1A642B56E88E1,0xA88745D805846D44B64A04EA51DF3FE7,м,1958,66,2011-08-17,224,0,Накопительный период,60,СФР,"1,КРАСНОЯРСКИЙ КРАЙ КРАСНОЯРСК Г.",Адрес места жительства,КРАСНОЯРСКИЙ КРАЙ,,КРАСНОЯРСК Г,,660028,4000000000.0,нет,нет,нет,нет,нет
152867,1,0x7F5150F7724A6145A8ED2AFB7A4C040B,0x7D5CFAD8C38C3142A8BEF6594E2E6D71,ж,1959,65,2008-10-28,154,0,Накопительный период,55,СФР,"0,г.Саратов",Адрес по прописке,САРАТОВСКАЯ ОБЛ,,САРАТОВ Г,,410012,63000000000.0,нет,нет,нет,нет,нет
460946,1,0x665F057223EC3141AC2EB788D7E8B585,0x367636CD564C334CB9638F51BD5D47C8,ж,1961,63,2013-03-05,785,0,Накопительный период,55,ОТКРЫТИЕ НПФ,"0,НОВОБАЙРАМГУЛОВО УЧАЛИНСКИЙ РАЙОН БАШКИРСКАЯ АССР",Адрес по прописке,БАШКОРТОСТАН РЕСП,УЧАЛИНСКИЙ Р-Н,УЧАЛЫ Г,,453700,80000000000.0,нет,нет,нет,нет,нет
369032,1,0x0DB8203AD1D929489539E7D67D5F9019,0xFD7DDE35FCABB14C9720B91DEBACAC96,м,1954,70,2008-12-15,106,0,Накопительный период,60,СФР,"0,с.Савиново Зонального р-на Алтайского края",Адрес по прописке,КАЛМЫКИЯ РЕСП,МАЛОДЕРБЕТОВСКИЙ Р-Н,,МАЛЫЕ ДЕРБЕТЫ С,359420,85000000000.0,нет,нет,нет,нет,нет
213905,0,0xB2D1745EBA860343A41B6FB0755B0CE7,0x74FB0F0062FDAA43B89882AC5EC74040,м,1971,53,2005-12-05,3890,1,Выплатной период,65,СФР,"1,ГОР. НОРИЛЬСК КРАСНОЯРСКОГО КР.",Адрес места жительства,КРАСНОЯРСКИЙ КРАЙ,,КРАСНОЯРСК Г,,660028,4000000000.0,нет,нет,нет,нет,нет
86280,0,0x8DE07CF4E088AF478A1DE2A9BB697BF7,0xCB5A150F87DB23439348709F6FF21428,ж,1965,59,2006-10-31,143,0,Накопительный период,56,СФР,"1,ГОР. ДАНИЛОВ ЯРОСЛАВСКОЙ ОБЛ.",Адрес места жительства,ЯРОСЛАВСКАЯ ОБЛ,ДАНИЛОВСКИЙ Р-Н,ДАНИЛОВ Г,,152072,78000000000.0,нет,нет,нет,нет,нет
165660,1,0xBD26CF7AECF7404BB366EB68D093A55B,0xB9AA3C4795C08F45896EDE7533FBEDB3,ж,1964,60,2009-07-30,252,0,Накопительный период,55,СФР,"0,РЕСПУБЛИКА ДАГЕСТАН, ЛЕВАШИНСКИЙ РАЙОН",Адрес по прописке,ДАГЕСТАН РЕСП,ЛЕВАШИНСКИЙ Р-Н,,УРМА С,368322,82000000000.0,нет,нет,нет,нет,нет
487000,0,0xDB8FB9BA6678F54BB7057BC0D275583C,0xCBD9B37D3CE8904B837073384EE9D8A1,м,1952,72,2013-08-29,92,0,Накопительный период,60,СФР,"1,ИВАНОВО",Адрес места жительства,СМОЛЕНСКАЯ ОБЛ,ЕРШИЧСКИЙ Р-Н,,СУКРОМЛЯ Д,216584,66000000000.0,нет,нет,нет,нет,нет
302781,3,0x943D2C768A4FB38311E66012759962D0,0x943D2C768A4FB38311E66012759962D2,ж,1955,69,2011-03-31,363,0,Накопительный период,55,СФР,"1,ЕРМАКИ,КАЗАЧИНСКО-ЛЕНСКИЙ,ИРКУТСКАЯ ОБЛАСТЬ,",Адрес места жительства,ИРКУТСКАЯ ОБЛ,,ШЕЛЕХОВ Г,,666034,25000000000.0,нет,нет,нет,нет,нет
187746,0,0x570832A1579100468FBA4DF7D04C9F6C,0xB11E3F3BD5C4E649A64E3A7D89DCC329,ж,1959,65,2005-12-05,112,0,Накопительный период,55,СФР,"1,МОСКОВСКАЯ ОБЛ.СТУПИНСКИЙ Р-Н С.ГОЛОЧЕЛОВО",Адрес места жительства,МОСКОВСКАЯ ОБЛ,ВОСКРЕСЕНСК Г,БЕЛООЗЁРСКИЙ Г,,140250,46000000000.0,нет,нет,нет,нет,нет
386777,0,0x4F606F0A1950FE4180686E604938C416,0x6DC6125CD50149488E5A27A3DC13E76C,м,1956,68,2006-11-22,121,0,Накопительный период,60,СФР,"1,С. ЧУМОЙ ИГРИНСКОГО РАЙОНА РЕСП. УДМУРТИЯ",Адрес места жительства,БЕЛГОРОДСКАЯ ОБЛ,РАКИТЯНСКИЙ Р-Н,,ПРОЛЕТАРСКИЙ П,309300,14000000000.0,нет,нет,нет,нет,нет
154696,0,0xA177F400A1AE9545BC845121776E53A1,0x0C44E3228C810C4CAF5714C32E6E281F,ж,1963,61,2013-03-29,90,0,Накопительный период,55,СФР,"1,ХАРЬКОВСКАЯ ОБЛАСТЬ,ДЕРГАЧЕВСКИЙ Р-ОН,С.МАЛАЯ ДАНИЛОВКА",Адрес места жительства,СТАВРОПОЛЬСКИЙ КРАЙ,ГЕОРГИЕВСКИЙ Р-Н,,ЛЫСОГОРСКАЯ СТ-ЦА,357838,7000000000.0,нет,нет,нет,нет,нет
325519,0,0x1E8D35B934F2F24D8DC6C9FAB6B24F68,0xBF75E6F1CA365B4A91CB8752C1FA6785,ж,1953,71,2010-05-26,300,0,Накопительный период,55,СФР,"1,Д УСТЬ-АТОВКА СОЛОВАТСКИЙ Р-Н БАШКИРСКАЯ АССР",Адрес места жительства,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,СУРГУТСКИЙ Р-Н,,УЛЬТ-ЯГУН П,628430,71100000000.0,нет,нет,да,нет,нет
225172,0,0x6B8831167183DD448961960DD6FAD50B,0x654A3C6FDA79424BA558E3000D3E5AF9,ж,1963,61,2004-09-30,543,0,Накопительный период,55,СФР,"1,ДЕР. ХМЕЛЕВОЕ ЛИВЕНСКОГО Р-НА ОРЛОВСКОЙ ОБЛ.",Адрес места жительства,ОРЛОВСКАЯ ОБЛ,,ОРЁЛ Г,,302040,54000000000.0,нет,нет,нет,нет,нет
